Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"SMA Solar Technology, Germany",969,Germany,3260114884059.16,,2,583,Renewable energy equipment,Listed,47.50,61,,23.4,5.7,13.2,203,Yes,36,,24.4,830,37,,3412,36,,13.9,19,,,2344,39,Yes,29.42,16.47,,
"Biomarin Pharmaceutical, USA",416,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,69.81,135,137,1411.7,34.7,62.4,5,Yes,-76,,2.5,201,9,146,720,11,52,97.0,112,47,,1286,33,Yes,29.72,31.17,29.72,27.10
"Abengoa, Spain",807,Spain,1418409880841.96,,17,2727,Diversified industrials,Listed,79.71,167,115,22.5,2.2,38.7,354,Yes,33,65,9.6,3685,10,42,23323,0,43,3.4,166,36,,1323,-12,No,29.80,48.50,20.65,49.57
"Sierra Wireless, Canada",31,Canada,1565186460764.05,*,39,9578,Telecommunications equipment,Listed,50.86,70,117,,15.6,18.1,-23,No,-185,-367,-7.2,326,-7,58,947,75,,53.7,-3,,41,163,8,Yes,29.91,24.07,21.11,18.80
"Warner Chilcott, Ireland",392,Ireland,218199392507.127,*,34,4577,Pharmaceuticals,Listed,47.52,54,62,26.4,5.3,8.4,180,Yes,165,175,20.2,889,53,85,2700,142,151,17.6,-37,-29,,4414,71,Yes,30.93,33.75,16.61,36.31
"Arques Industries, Germany",232,Germany,3260114884059.16,,11,8775,Specialty finance,Listed,53.94,71,482,,1.7,2.4,-141,No,,-1019,-4.5,3103,-37,59,9417,-23,45,5.7,123,497,,33,-29,No,31.57,2.64,1.33,1.51
"Digital River, USA",212,USA,14617299295858.1,*,37,9535,Internet,Listed,44.19,39,99,111.7,17.7,25.6,40,Yes,-11,-9,15.8,250,2,27,1239,-7,7,35.7,50,91,41,637,-22,No,31.70,24.26,20.09,12.74
"Orbital Sciences, USA",826,USA,14617299295858.1,*,1,2717,Defence,Listed,67.96,114,411,224.0,9.8,13.8,30,Yes,-28,-29,4.4,697,-5,19,3100,-9,4,21.9,134,425,9,469,-2,No,31.83,11.55,5.97,3.90
"Netlogic Microsystems, USA",112,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,45.60,43,91,,42.2,42.9,-31,No,-109679,-1954,-28.4,108,25,63,550,116,189,82.9,-34,-34,75,944,72,Yes,31.96,27.97,22.65,13.08
"Ashland, USA",925,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,59.45,85,97,26.2,1.2,3.3,227,Yes,65,-49,4.5,5020,-3,-10,14700,24,5,4.0,49,75,,2393,53,Yes,32.20,30.96,29.72,27.87
